Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Coluna7;Coluna8;Coluna9;Coluna10;Coluna11;Coluna12;Coluna13;Coluna14;Coluna15;Coluna16;Coluna17;Coluna18;Coluna19;Coluna20;Coluna21;Coluna22;Coluna23;Coluna24;Coluna25;Coluna26;Coluna27;Coluna28;Coluna29;Coluna30;Coluna31;Coluna32;Coluna33;Coluna34;Coluna35;Coluna36;Coluna37;Coluna38;Coluna39;Coluna40;Coluna41;Coluna42;Coluna43;Coluna44;Coluna45;Coluna46;Coluna47;Coluna48;Coluna49;Coluna50;Coluna51;Coluna52;Coluna53;Coluna54;Coluna55;Coluna56;Coluna57;Coluna58;Coluna59;Coluna60;Coluna61;Coluna62;Coluna63;Coluna64;Coluna65;Coluna66;Coluna67;Coluna68;Coluna69;Coluna70;Coluna71;Coluna72;Coluna73;Coluna74;Coluna75;Coluna76;Coluna77;Coluna78;Coluna79;Coluna80;Coluna81;Coluna82;Coluna83;Coluna84;Coluna85;Coluna86;Coluna87;Coluna88;Coluna89;Coluna90;Coluna91
;DES_test_doc_1,txt;DES_test_doc_2,txt;DES_test_doc_3,txt;DES_test_doc_4,txt;DES_test_doc_5,txt;DES_test_doc_6,txt;DES_train_doc_1,txt;DES_train_doc_10,txt;DES_train_doc_11,txt;DES_train_doc_12,txt;DES_train_doc_13,txt;DES_train_doc_14,txt;DES_train_doc_15,txt;DES_train_doc_16,txt;DES_train_doc_17,txt;DES_train_doc_18,txt;DES_train_doc_2,txt;DES_train_doc_3,txt;DES_train_doc_4,txt;DES_train_doc_5,txt;DES_train_doc_6,txt;DES_train_doc_7,txt;DES_train_doc_8,txt;DES_train_doc_9,txt;DES_validation_doc_1,txt;DES_validation_doc_2,txt;DES_validation_doc_3,txt;DES_validation_doc_4,txt;DES_validation_doc_5,txt;DES_validation_doc_6,txt;ElGamal_test_doc_1,txt;ElGamal_test_doc_2,txt;ElGamal_test_doc_3,txt;ElGamal_test_doc_4,txt;ElGamal_test_doc_5,txt;ElGamal_test_doc_6,txt;ElGamal_train_doc_1,txt;ElGamal_train_doc_10,txt;ElGamal_train_doc_11,txt;ElGamal_train_doc_12,txt;ElGamal_train_doc_13,txt;ElGamal_train_doc_14,txt;ElGamal_train_doc_15,txt;ElGamal_train_doc_16,txt;ElGamal_train_doc_17,txt;ElGamal_train_doc_18,txt;ElGamal_train_doc_2,txt;ElGamal_train_doc_3,txt;ElGamal_train_doc_4,txt;ElGamal_train_doc_5,txt;ElGamal_train_doc_6,txt;ElGamal_train_doc_7,txt;ElGamal_train_doc_8,txt;ElGamal_train_doc_9,txt;ElGamal_validation_doc_1,txt;ElGamal_validation_doc_2,txt;ElGamal_validation_doc_3,txt;ElGamal_validation_doc_4,txt;ElGamal_validation_doc_5,txt;ElGamal_validation_doc_6,txt;RSA_test_doc_1,txt;RSA_test_doc_2,txt;RSA_test_doc_3,txt;RSA_test_doc_4,txt;RSA_test_doc_5,txt;RSA_test_doc_6,txt;RSA_train_doc_1,txt;RSA_train_doc_10,txt;RSA_train_doc_11,txt;RSA_train_doc_12,txt;RSA_train_doc_13,txt;RSA_train_doc_14,txt;RSA_train_doc_15,txt;RSA_train_doc_16,txt;RSA_train_doc_17,txt;RSA_train_doc_18,txt;RSA_train_doc_2,txt;RSA_train_doc_3,txt;RSA_train_doc_4,txt;RSA_train_doc_5,txt;RSA_train_doc_6,txt;RSA_train_doc_7,txt;RSA_train_doc_8,txt;RSA_train_doc_9,txt;RSA_validation_doc_1,txt;RSA_validation_doc_2,txt;RSA_validation_doc_3,txt;RSA_validation_doc_4,txt;RSA_validation_doc_5,txt;RSA_validation_doc_6,txt
DES_test_doc_1,txt;1,00;0,78;0,78;0,77;0,77;0,78;0,78;0,79;0,78;0,78;0,79;0,77;0,78;0,78;0,77;0,78;0,77;0,79;0,77;0,78;0,78;0,77;0,78;0,78;0,78;0,79;0,77;0,78;0,78;0,77;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86
DES_test_doc_2,txt;0,78;1,00;0,79;0,78;0,78;0,78;0,79;0,80;0,79;0,78;0,80;0,78;0,79;0,78;0,78;0,79;0,78;0,80;0,78;0,80;0,79;0,78;0,79;0,79;0,79;0,80;0,77;0,79;0,78;0,79;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88
DES_test_doc_3,txt;0,78;0,79;1,00;0,78;0,78;0,78;0,79;0,79;0,79;0,78;0,79;0,78;0,78;0,78;0,78;0,79;0,78;0,79;0,77;0,79;0,79;0,78;0,79;0,79;0,79;0,80;0,77;0,79;0,78;0,78;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87
DES_test_doc_4,txt;0,77;0,78;0,78;1,00;0,78;0,77;0,78;0,79;0,78;0,78;0,79;0,77;0,78;0,78;0,77;0,78;0,78;0,79;0,77;0,78;0,78;0,77;0,78;0,78;0,78;0,79;0,77;0,78;0,78;0,78;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86
DES_test_doc_5,txt;0,77;0,78;0,78;0,78;1,00;0,78;0,78;0,79;0,78;0,77;0,78;0,77;0,78;0,77;0,77;0,78;0,77;0,78;0,77;0,79;0,78;0,77;0,78;0,78;0,78;0,79;0,76;0,78;0,77;0,77;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86
DES_test_doc_6,txt;0,78;0,78;0,78;0,77;0,78;1,00;0,78;0,79;0,79;0,78;0,79;0,77;0,78;0,78;0,77;0,78;0,78;0,79;0,77;0,79;0,78;0,77;0,78;0,78;0,78;0,79;0,77;0,78;0,77;0,78;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87
DES_train_doc_1,txt;0,78;0,79;0,79;0,78;0,78;0,78;1,00;0,80;0,79;0,78;0,80;0,78;0,79;0,78;0,78;0,79;0,78;0,80;0,78;0,79;0,79;0,78;0,79;0,79;0,79;0,80;0,77;0,79;0,78;0,78;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88
DES_train_doc_10,txt;0,79;0,80;0,79;0,79;0,79;0,79;0,80;1,00;0,80;0,79;0,80;0,79;0,80;0,79;0,79;0,80;0,79;0,80;0,78;0,80;0,80;0,79;0,80;0,80;0,80;0,81;0,78;0,80;0,79;0,79;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88
DES_train_doc_11,txt;0,78;0,79;0,79;0,78;0,78;0,79;0,79;0,80;1,00;0,79;0,80;0,78;0,79;0,79;0,78;0,79;0,78;0,80;0,78;0,79;0,79;0,78;0,79;0,79;0,79;0,80;0,78;0,79;0,78;0,78;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88
