;DES_test_doc_1.txt;DES_test_doc_2.txt;DES_test_doc_3.txt;DES_test_doc_4.txt;DES_test_doc_5.txt;DES_test_doc_6.txt;DES_train_doc_1.txt;DES_train_doc_10.txt;DES_train_doc_11.txt;DES_train_doc_12.txt;DES_train_doc_13.txt;DES_train_doc_14.txt;DES_train_doc_15.txt;DES_train_doc_16.txt;DES_train_doc_17.txt;DES_train_doc_18.txt;DES_train_doc_2.txt;DES_train_doc_3.txt;DES_train_doc_4.txt;DES_train_doc_5.txt;DES_train_doc_6.txt;DES_train_doc_7.txt;DES_train_doc_8.txt;DES_train_doc_9.txt;DES_validation_doc_1.txt;DES_validation_doc_2.txt;DES_validation_doc_3.txt;DES_validation_doc_4.txt;DES_validation_doc_5.txt;DES_validation_doc_6.txt;ElGamal_test_doc_1.txt;ElGamal_test_doc_2.txt;ElGamal_test_doc_3.txt;ElGamal_test_doc_4.txt;ElGamal_test_doc_5.txt;ElGamal_test_doc_6.txt;ElGamal_train_doc_1.txt;ElGamal_train_doc_10.txt;ElGamal_train_doc_11.txt;ElGamal_train_doc_12.txt;ElGamal_train_doc_13.txt;ElGamal_train_doc_14.txt;ElGamal_train_doc_15.txt;ElGamal_train_doc_16.txt;ElGamal_train_doc_17.txt;ElGamal_train_doc_18.txt;ElGamal_train_doc_2.txt;ElGamal_train_doc_3.txt;ElGamal_train_doc_4.txt;ElGamal_train_doc_5.txt;ElGamal_train_doc_6.txt;ElGamal_train_doc_7.txt;ElGamal_train_doc_8.txt;ElGamal_train_doc_9.txt;ElGamal_validation_doc_1.txt;ElGamal_validation_doc_2.txt;ElGamal_validation_doc_3.txt;ElGamal_validation_doc_4.txt;ElGamal_validation_doc_5.txt;ElGamal_validation_doc_6.txt;RSA_test_doc_1.txt;RSA_test_doc_2.txt;RSA_test_doc_3.txt;RSA_test_doc_4.txt;RSA_test_doc_5.txt;RSA_test_doc_6.txt;RSA_train_doc_1.txt;RSA_train_doc_10.txt;RSA_train_doc_11.txt;RSA_train_doc_12.txt;RSA_train_doc_13.txt;RSA_train_doc_14.txt;RSA_train_doc_15.txt;RSA_train_doc_16.txt;RSA_train_doc_17.txt;RSA_train_doc_18.txt;RSA_train_doc_2.txt;RSA_train_doc_3.txt;RSA_train_doc_4.txt;RSA_train_doc_5.txt;RSA_train_doc_6.txt;RSA_train_doc_7.txt;RSA_train_doc_8.txt;RSA_train_doc_9.txt;RSA_validation_doc_1.txt;RSA_validation_doc_2.txt;RSA_validation_doc_3.txt;RSA_validation_doc_4.txt;RSA_validation_doc_5.txt;RSA_validation_doc_6.txt
DES_test_doc_1.txt;0.0;148.04053499;148.865711297;149.535948855;149.946657182;149.284962404;148.293627645;146.782151504;147.868184543;149.184449592;147.129194927;150.552316488;149.100637155;149.228013456;150.728232259;148.67414032;149.58943813;147.074810896;151.188623911;147.634684272;148.684229157;150.139934728;147.895233189;148.411589844;149.662954668;146.294224083;150.804509216;148.02364676;149.382060503;149.81989187;216.700253807;216.529443725;216.681794344;216.711790173;216.635638804;216.617173834;216.787914792;216.619482042;216.559460657;216.658717803;216.6402548;216.755622764;216.77176938;216.69794646;216.67487164;216.711790173;216.524825367;216.612557346;216.589473428;216.628714625;216.589473428;216.564078277;216.598707291;216.55715181;216.619482042;216.52251615;216.628714625;216.725633002;216.545607206;216.589473428;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977;126.154666977
DES_test_doc_2.txt;148.04053499;0.0;146.679923643;147.461859476;147.837748901;148.310485132;145.426957611;144.37104973;144.972411168;147.722713216;144.27404479;149.090576496;147.020406747;147.509321739;148.630414115;146.109547943;147.956074563;144.689322343;148.741386305;144.734239211;146.618552714;147.912136081;145.708613335;146.294224083;146.160870277;143.791515744;150.066651858;146.181394165;148.02364676;146.901327428;219.155196151;219.082176363;219.082176363;219.079894103;219.104997661;219.086740813;219.232753027;219.130098343;219.0433747;219.082176363;219.104997661;219.200821166;219.216787678;219.10727966;219.152914651;219.162040509;219.045657341;219.031961138;219.027395547;219.139225152;219.02282986;219.029678354;219.114125515;219.077611818;219.102715638;219.015981152;219.079894103;219.0433747;219.06620004;219.068482443;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143;120.461612143
DES_test_doc_3.txt;148.865711297;146.679923643;0.0;148.377895928;148.185694316;148.192442452;146.089013961;145.451022685;146.225852707;148.300370869;146.232691283;149.50250834;148.680866287;147.959453905;149.63956696;146.563979204;148.364416219;145.746355014;150.043327076;145.982875708;146.778745055;148.48232218;145.972600169;147.319380938;147.234506825;144.516435052;150.641959626;147.370281943;148.296999295;148.00337834;217.866931864;217.811845408;217.853161556;217.809549837;217.79348016;217.756745016;217.958711686;217.864636873;217.837095096;217.857751756;217.880701302;217.981650604;217.95182954;217.869226831;217.855456668;217.915121091;217.73837512;217.788888605;217.761337248;217.777409297;217.724596681;217.763633328;217.903648432;217.834799791;217.841685634;217.791184395;217.832504462;217.892175169;217.699333945;217.770521421;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943;122.816936943
DES_test_doc_4.txt;149.535948855;147.461859476;148.377895928;0.0;148.704404777;149.809879514;148.20256408;146.437700064;147.688862139;149.415527975;147.288831892;150.986754386;149.392101532;149.284962404;149.773161815;148.650597039;149.057036063;147.417773691;150.322985601;147.881709484;148.270023943;149.596122944;147.830984574;148.72457766;148.7749979;146.693558141;151.786033613;148.553020838;149.351933365;149.080515159;216.591781931;216.527134558;216.559460657;216.534061986;216.568695799;216.490184535;216.614865603;216.56638705;216.552534042;216.614865603;216.582547773;216.7071757;216.6402548;216.617173834;216.589473428;216.571004523;216.47632665;216.47632665;216.457848091;216.543298211;216.494803633;216.497113145;216.508660335;216.471707158;216.552534042;216.413955188;216.547916176;216.589473428;216.510969699;216.517897644;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226;125.976188226
DES_test_doc_5.txt;149.946657182;147.837748901;148.185694316;148.704404777;0.0;149.372018799;147.638070971;147.360103149;148.043912404;149.686338722;147.455077905;150.651916682;149.087222793;149.883287928;149.863271017;148.916083752;150.402792527;147.685476605;151.109232014;147.132593262;148.798521498;150.019998667;148.165448064;149.150930269;147.989864518;146.969384567;151.809090637;148.145199045;150.069983674;149.81989187;216.164289373;216.13190417;216.155036953;216.259103855;216.14115758;216.182793025;216.289158304;216.249855491;216.111082548;216.205920363;216.242918959;216.330765265;216.259103855;216.222108028;216.222108028;216.175854341;216.076375386;216.201295093;216.173541397;216.138844265;216.182793025;216.115709748;216.173541397;216.14115758;216.161976305;216.069433285;216.157350095;216.189731486;216.152723786;216.05786262;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147;126.423890147
DES_test_doc_6.txt;149.284962404;148.310485132;148.192442452;149.809879514;149.372018799;0.0;147.36688909;146.160870277;147.332956259;149.365323954;147.319380938;150.0;148.212685017;149.348585531;149.963328851;148.270023943;148.731301346;146.816211639;150.173233301;147.173367156;148.468851952;150.079978678;147.705788648;147.770091697;148.408220797;146.36256352;151.433153569;148.401482472;149.789852794;149.40548852;217.050685325;216.930864563;216.90781452;216.970044015;216.940083894;216.912424725;217.041470692;216.979261682;216.86401269;216.92164484;216.976957302;217.064506541;217.020736336;217.016128433;216.988478957;216.993087448;216.880151236;216.852484422;216.875540345;216.942388666;216.829426047;216.827120075;216.958521381;216.86631827;216.956216781;216.845567167;216.942388666;216.979261682;216.840955541;216.80175276;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696;124.85591696
DES_train_doc_1.txt;148.293627645;145.426957611;146.089013961;148.20256408;147.638070971;147.36688909;0.0;144.3537322;144.982757596;147.983107144;144.782595639;148.798521498;147.003401321;147.519490238;148.963082675;146.030818665;147.505932084;144.118007202;149.241415163;145.358178304;146.116391962;147.847894811;145.285924989;146.393305858;146.335231575;144.065957117;150.362894359;145.650266049;147.939176691;147.996621583;218.984017682;218.952049545;219.011415228;219.0;218.961183775;218.984017682;219.130098343;218.981734398;219.013698202;218.92464457;218.984017682;219.10727966;219.141506794;219.100433592;219.095869427;219.073047178;218.92007674;218.947482287;218.974884405;219.00913223;218.979451091;218.899520328;218.997716883;218.993150578;219.050222552;218.913224818;219.00913223;219.091305168;218.958900253;218.947482287;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566;120.391029566
DES_train_doc_10.txt;146.782151504;144.37104973;145.451022685;146.437700064;147.360103149;146.160870277;144.3537322;0.0;142.492105044;146.461599063;143.317828619;147.237902729;144.575239927;146.232691283;146.819617218;144.37797616;146.581035608;143.059428211;147.922276889;143.488675511;144.754965373;146.788964163;144.013888219;144.474911317;144.547570025;142.298981022;148.825401058;144.263647535;146.792370374;146.598090028;220.698889893;220.649042599;220.658106581;220.660372518;220.635445928;220.621848419;220.780433916;220.705686379;220.556115309;220.658106581;220.649042599;220.775904482;220.764580492;220.714748035;220.664904323;220.796286201;220.590117639;220.603717104;220.585584298;220.610516522;220.549314213;220.551581268;220.644510469;220.626381016;220.560649255;220.537978589;220.6059836;220.719278723;220.601450585;220.522107735;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511;116.627612511
DES_train_doc_11.txt;147.868184543;144.972411168;146.225852707;147.688862139;148.043912404;147.332956259;144.982757596;142.492105044;0.0;146.911538008;144.492214323;148.475587219;146.485494162;146.765118472;148.512625726;145.0;147.878328365;143.986110441;148.630414115;144.98620624;146.130079039;147.604200482;145.327216997;145.763507093;146.335231575;143.321317326;149.49581934;145.313454298;147.587262323;147.678705303;219.139225152;219.002283093;219.125534797;219.100433592;218.92007674;218.974884405;219.203102168;219.100433592;219.059352688;219.07532951;219.061635162;219.193978019;219.141506794;219.095869427;219.095869427;219.114125515;218.974884405;219.015981152;218.970317623;219.041092035;218.961183775;218.972601026;219.06620004;219.06620004;219.050222552;218.936063726;219.073047178;219.091305168;218.968034197;218.979451091;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964;120.124934964
DES_train_doc_12.txt;149.184449592;147.722713216;148.300370869;149.415527975;149.686338722;149.365323954;147.983107144;146.461599063;146.911538008;0.0;147.203940165;150.459296821;148.953012725;149.916643506;150.223167321;148.263279338;149.789852794;147.224318643;151.228304229;147.078210487;148.509258971;150.332963784;147.61774961;148.344194359;148.973151944;146.376227578;151.69706655;148.34756486;149.989999667;149.53260514;216.760236206;216.672564022;216.764849549;216.734861063;216.709482949;216.667948714;216.893983319;216.744088731;216.702561129;216.709482949;216.723325925;216.875540345;216.785608378;216.827120075;216.739474946;216.739474946;216.607940759;216.681794344;216.695639089;216.661025568;216.667948714;216.647178611;216.732554085;216.714097373;216.69794646;216.651794361;216.725633002;216.725633002;216.656410014;216.658717803;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188;125.558751188
