;DES_test_doc_1.txt;DES_test_doc_2.txt;DES_train_doc_1.txt;DES_train_doc_2.txt;DES_train_doc_3.txt;DES_train_doc_4.txt;DES_train_doc_5.txt;DES_train_doc_6.txt;DES_validation_doc_1.txt;DES_validation_doc_2.txt;ElGamal_test_doc_1.txt;ElGamal_test_doc_2.txt;ElGamal_train_doc_1.txt;ElGamal_train_doc_2.txt;ElGamal_train_doc_3.txt;ElGamal_train_doc_4.txt;ElGamal_train_doc_5.txt;ElGamal_train_doc_6.txt;ElGamal_validation_doc_1.txt;ElGamal_validation_doc_2.txt;RSA_test_doc_1.txt;RSA_test_doc_2.txt;RSA_train_doc_1.txt;RSA_train_doc_2.txt;RSA_train_doc_3.txt;RSA_train_doc_4.txt;RSA_train_doc_5.txt;RSA_train_doc_6.txt;RSA_validation_doc_1.txt;RSA_validation_doc_2.txt
DES_test_doc_1.txt;0.0;128.195163715;129.007751705;130.514367025;128.300428682;129.158816966;129.182042096;128.10932831;127.812362469;128.604043482;226.585524692;226.565663771;226.506070559;226.645097013;226.525936705;226.455293601;226.609796787;226.521522156;226.698037045;226.9779725;101.901913623;101.901913623;101.901913623;101.901913623;101.901913623;101.901913623;101.901913623;101.901913623;101.901913623;101.901913623
DES_test_doc_2.txt;128.195163715;0.0;129.317438886;130.866344031;128.386136323;129.151074328;128.93409169;128.965111561;127.741927338;128.378347084;226.594351209;226.609796787;226.523729441;226.609796787;226.539179834;226.495033058;226.684803196;226.548008157;226.631860073;226.938317611;102.274141404;102.274141404;102.274141404;102.274141404;102.274141404;102.274141404;102.274141404;102.274141404;102.274141404;102.274141404
DES_train_doc_1.txt;129.007751705;129.317438886;0.0;131.943169584;129.205263051;130.288142208;130.502873532;129.934598933;128.883668477;129.753612666;225.760935505;225.732142151;225.690052949;225.785296244;225.64352417;225.670113218;225.803011495;225.64352417;225.865003929;226.141548593;104.484448604;104.484448604;104.484448604;104.484448604;104.484448604;104.484448604;104.484448604;104.484448604;104.484448604;104.484448604
DES_train_doc_2.txt;130.514367025;130.866344031;131.943169584;0.0;130.334185845;130.996183151;131.171643277;131.148770486;130.629246342;130.732551417;224.773219045;224.664193854;224.684222855;224.779892339;224.690898792;224.624130494;224.717600557;224.713150483;224.833271559;225.115525897;106.480045079;106.480045079;106.480045079;106.480045079;106.480045079;106.480045079;106.480045079;106.480045079;106.480045079;106.480045079
DES_train_doc_3.txt;128.300428682;128.386136323;129.205263051;130.334185845;0.0;128.642916634;128.02734083;128.844867961;128.300428682;127.976560354;226.724502425;226.651715193;226.596557785;226.76198976;226.673774398;226.629653841;226.731118288;226.651715193;226.784038239;227.037441846;101.680873324;101.680873324;101.680873324;101.680873324;101.680873324;101.680873324;101.680873324;101.680873324;101.680873324;101.680873324
DES_train_doc_4.txt;129.158816966;129.151074328;130.288142208;130.996183151;128.642916634;0.0;129.290370871;128.763348823;129.158816966;128.868149672;226.072997061;226.017698422;226.068573667;226.017698422;225.986725274;225.95574788;226.079631988;225.960173482;226.190185463;226.453085649;102.917442642;102.917442642;102.917442642;102.917442642;102.917442642;102.917442642;102.917442642;102.917442642;102.917442642;102.917442642
DES_train_doc_5.txt;129.182042096;128.93409169;130.502873532;131.171643277;128.02734083;129.290370871;0.0;128.623481527;128.039056541;128.565158577;226.324987573;226.25649162;226.285218253;226.278589354;226.190185463;226.212289675;226.353705514;226.229971489;226.371376282;226.682597479;102.576800496;102.576800496;102.576800496;102.576800496;102.576800496;102.576800496;102.576800496;102.576800496;102.576800496;102.576800496
DES_train_doc_6.txt;128.10932831;128.965111561;129.934598933;131.148770486;128.844867961;128.763348823;128.623481527;0.0;128.374452287;128.097619025;226.391254248;226.389045671;226.382419812;226.481787347;226.340451533;226.336033366;226.459709441;226.375793759;226.556836136;226.770809409;102.254584249;102.254584249;102.254584249;102.254584249;102.254584249;102.254584249;102.254584249;102.254584249;102.254584249;102.254584249
DES_validation_doc_1.txt;127.812362469;127.741927338;128.883668477;130.629246342;128.300428682;129.158816966;128.039056541;128.374452287;0.0;127.338132545;226.907470128;226.892044814;226.858987038;227.028632555;226.847966709;226.865598979;226.918487568;226.887637389;226.988986517;227.250962594;101.103906947;101.103906947;101.103906947;101.103906947;101.103906947;101.103906947;101.103906947;101.103906947;101.103906947;101.103906947
DES_validation_doc_2.txt;128.604043482;128.378347084;129.753612666;130.732551417;127.976560354;128.868149672;128.565158577;128.097619025;127.338132545;0.0;226.755374798;226.695831457;226.671568574;226.806084574;226.620828699;226.625241313;226.784038239;226.709064662;226.850170818;227.156333832;101.375539456;101.375539456;101.375539456;101.375539456;101.375539456;101.375539456;101.375539456;101.375539456;101.375539456;101.375539456
ElGamal_test_doc_1.txt;226.585524692;226.594351209;225.760935505;224.773219045;226.724502425;226.072997061;226.324987573;226.391254248;226.907470128;226.755374798;0.0;23.7276210354;25.0199920064;25.2388589282;24.3926218353;24.9599679487;24.2280828792;25.2784493195;24.2280828792;24.3721152139;244.857101184;244.857101184;244.857101184;244.857101184;244.857101184;244.857101184;244.857101184;244.857101184;244.857101184;244.857101184
ElGamal_test_doc_2.txt;226.565663771;226.609796787;225.732142151;224.664193854;226.651715193;226.017698422;226.25649162;226.389045671;226.892044814;226.695831457;23.7276210354;0.0;24.4335834457;24.9799919936;25.13961018;24.4948974278;24.1246761636;24.1660919472;24.0416305603;24.6779253585;244.785620493;244.785620493;244.785620493;244.785620493;244.785620493;244.785620493;244.785620493;244.785620493;244.785620493;244.785620493
ElGamal_train_doc_1.txt;226.506070559;226.523729441;225.690052949;224.684222855;226.596557785;226.068573667;226.285218253;226.382419812;226.858987038;226.671568574;25.0199920064;24.4335834457;0.0;25.4754784057;25.5929677841;25.903667694;25.632011236;25.0;24.3515913238;24.9799919936;244.77132185;244.77132185;244.77132185;244.77132185;244.77132185;244.77132185;244.77132185;244.77132185;244.77132185;244.77132185
ElGamal_train_doc_2.txt;226.645097013;226.609796787;225.785296244;224.779892339;226.76198976;226.017698422;226.278589354;226.481787347;227.028632555;226.806084574;25.2388589282;24.9799919936;25.4754784057;0.0;26.3438797446;25.9229627936;26.1151297144;25.8456959666;25.4165300543;25.3968501984;244.879562234;244.879562234;244.879562234;244.879562234;244.879562234;244.879562234;244.879562234;244.879562234;244.879562234;244.879562234
ElGamal_train_doc_3.txt;226.525936705;226.539179834;225.64352417;224.690898792;226.673774398;225.986725274;226.190185463;226.340451533;226.847966709;226.620828699;24.3926218353;25.13961018;25.5929677841;26.3438797446;0.0;24.7790233867;25.495097568;26.0;24.9799919936;25.903667694;244.707989244;244.707989244;244.707989244;244.707989244;244.707989244;244.707989244;244.707989244;244.707989244;244.707989244;244.707989244
ElGamal_train_doc_4.txt;226.455293601;226.495033058;225.670113218;224.624130494;226.629653841;225.95574788;226.212289675;226.336033366;226.865598979;226.625241313;24.9599679487;24.4948974278;25.903667694;25.9229627936;24.7790233867;0.0;25.6124969497;26.2678510731;25.4558441227;26.2488094968;244.728420908;244.728420908;244.728420908;244.728420908;244.728420908;244.728420908;244.728420908;244.728420908;244.728420908;244.728420908
ElGamal_train_doc_5.txt;226.609796787;226.684803196;225.803011495;224.717600557;226.731118288;226.079631988;226.353705514;226.459709441;226.918487568;226.784038239;24.2280828792;24.1246761636;25.632011236;26.1151297144;25.495097568;25.6124969497;0.0;25.3377189186;24.3310501212;24.8797106092;244.850975085;244.850975085;244.850975085;244.850975085;244.850975085;244.850975085;244.850975085;244.850975085;244.850975085;244.850975085
ElGamal_train_doc_6.txt;226.521522156;226.548008157;225.64352417;224.713150483;226.651715193;225.960173482;226.229971489;226.375793759;226.887637389;226.709064662;25.2784493195;24.1660919472;25.0;25.8456959666;26.0;26.2678510731;25.3377189186;0.0;24.6170672502;25.1197133742;244.769279118;244.769279118;244.769279118;244.769279118;244.769279118;244.769279118;244.769279118;244.769279118;244.769279118;244.769279118
ElGamal_validation_doc_1.txt;226.698037045;226.631860073;225.865003929;224.833271559;226.784038239;226.190185463;226.371376282;226.556836136;226.988986517;226.850170818;24.2280828792;24.0416305603;24.3515913238;25.4165300543;24.9799919936;25.4558441227;24.3310501212;24.6170672502;0.0;23.0867927612;244.969385842;244.969385842;244.969385842;244.969385842;244.969385842;244.969385842;244.969385842;244.969385842;244.969385842;244.969385842
ElGamal_validation_doc_2.txt;226.9779725;226.938317611;226.141548593;225.115525897;227.037441846;226.453085649;226.682597479;226.770809409;227.250962594;227.156333832;24.3721152139;24.6779253585;24.9799919936;25.3968501984;25.903667694;26.2488094968;24.8797106092;25.1197133742;23.0867927612;0.0;245.330389475;245.330389475;245.330389475;245.330389475;245.330389475;245.330389475;245.330389475;245.330389475;245.330389475;245.330389475
RSA_test_doc_1.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_test_doc_2.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_train_doc_1.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_train_doc_2.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_train_doc_3.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_train_doc_4.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_train_doc_5.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_train_doc_6.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_validation_doc_1.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSA_validation_doc_2.txt;101.901913623;102.274141404;104.484448604;106.480045079;101.680873324;102.917442642;102.576800496;102.254584249;101.103906947;101.375539456;244.857101184;244.785620493;244.77132185;244.879562234;244.707989244;244.728420908;244.850975085;244.769279118;244.969385842;245.330389475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
