;DES_doc_1.txt;DES_doc_10.txt;DES_doc_11.txt;DES_doc_12.txt;DES_doc_13.txt;DES_doc_14.txt;DES_doc_15.txt;DES_doc_16.txt;DES_doc_17.txt;DES_doc_18.txt;DES_doc_19.txt;DES_doc_2.txt;DES_doc_20.txt;DES_doc_21.txt;DES_doc_22.txt;DES_doc_23.txt;DES_doc_24.txt;DES_doc_25.txt;DES_doc_26.txt;DES_doc_27.txt;DES_doc_28.txt;DES_doc_29.txt;DES_doc_3.txt;DES_doc_30.txt;DES_doc_31.txt;DES_doc_32.txt;DES_doc_33.txt;DES_doc_34.txt;DES_doc_35.txt;DES_doc_36.txt;DES_doc_37.txt;DES_doc_38.txt;DES_doc_39.txt;DES_doc_4.txt;DES_doc_40.txt;DES_doc_41.txt;DES_doc_42.txt;DES_doc_43.txt;DES_doc_44.txt;DES_doc_45.txt;DES_doc_46.txt;DES_doc_47.txt;DES_doc_48.txt;DES_doc_49.txt;DES_doc_5.txt;DES_doc_50.txt;DES_doc_6.txt;DES_doc_7.txt;DES_doc_8.txt;DES_doc_9.txt;ElGamal_doc_1.txt;ElGamal_doc_10.txt;ElGamal_doc_11.txt;ElGamal_doc_12.txt;ElGamal_doc_13.txt;ElGamal_doc_14.txt;ElGamal_doc_15.txt;ElGamal_doc_16.txt;ElGamal_doc_17.txt;ElGamal_doc_18.txt;ElGamal_doc_19.txt;ElGamal_doc_2.txt;ElGamal_doc_20.txt;ElGamal_doc_21.txt;ElGamal_doc_22.txt;ElGamal_doc_23.txt;ElGamal_doc_24.txt;ElGamal_doc_25.txt;ElGamal_doc_26.txt;ElGamal_doc_27.txt;ElGamal_doc_28.txt;ElGamal_doc_29.txt;ElGamal_doc_3.txt;ElGamal_doc_30.txt;ElGamal_doc_31.txt;ElGamal_doc_32.txt;ElGamal_doc_33.txt;ElGamal_doc_34.txt;ElGamal_doc_35.txt;ElGamal_doc_36.txt;ElGamal_doc_37.txt;ElGamal_doc_38.txt;ElGamal_doc_39.txt;ElGamal_doc_4.txt;ElGamal_doc_40.txt;ElGamal_doc_41.txt;ElGamal_doc_42.txt;ElGamal_doc_43.txt;ElGamal_doc_44.txt;ElGamal_doc_45.txt;ElGamal_doc_46.txt;ElGamal_doc_47.txt;ElGamal_doc_48.txt;ElGamal_doc_49.txt;ElGamal_doc_5.txt;ElGamal_doc_50.txt;ElGamal_doc_6.txt;ElGamal_doc_7.txt;ElGamal_doc_8.txt;ElGamal_doc_9.txt;RSA_doc_1.txt;RSA_doc_10.txt;RSA_doc_11.txt;RSA_doc_12.txt;RSA_doc_13.txt;RSA_doc_14.txt;RSA_doc_15.txt;RSA_doc_16.txt;RSA_doc_17.txt;RSA_doc_18.txt;RSA_doc_19.txt;RSA_doc_2.txt;RSA_doc_20.txt;RSA_doc_21.txt;RSA_doc_22.txt;RSA_doc_23.txt;RSA_doc_24.txt;RSA_doc_25.txt;RSA_doc_26.txt;RSA_doc_27.txt;RSA_doc_28.txt;RSA_doc_29.txt;RSA_doc_3.txt;RSA_doc_30.txt;RSA_doc_31.txt;RSA_doc_32.txt;RSA_doc_33.txt;RSA_doc_34.txt;RSA_doc_35.txt;RSA_doc_36.txt;RSA_doc_37.txt;RSA_doc_38.txt;RSA_doc_39.txt;RSA_doc_4.txt;RSA_doc_40.txt;RSA_doc_41.txt;RSA_doc_42.txt;RSA_doc_43.txt;RSA_doc_44.txt;RSA_doc_45.txt;RSA_doc_46.txt;RSA_doc_47.txt;RSA_doc_48.txt;RSA_doc_49.txt;RSA_doc_5.txt;RSA_doc_50.txt;RSA_doc_6.txt;RSA_doc_7.txt;RSA_doc_8.txt;RSA_doc_9.txt
DES_doc_1.txt;1;1010.97576628;997.66126516;969.653546376;922.944201997;988.980282918;896.171858518;954.5910119;942.354498053;1044.03160872;947.382710419;1012.9777885;968.992260031;960.062497966;948.188799765;981.496816093;932.66392661;963.414760111;936.925824172;1043.7375149;901.825925553;965.800186374;910.577838518;1018.30643718;935.996794866;978.926963568;960.313490481;957.830882776;1013.29956084;959.729128452;1028.12645137;899.253023348;966.708849654;976.854134454;1042.36653822;904.622573232;963.971991294;1031.75093894;945.438522592;891.923763558;917.156475199;916.370012604;992.763818841;953.680239913;944.029660551;974.906149329;979.932650747;910.461421478;969.17593862;984.672534399;1681.06335395;1676.48680281;1696.6266531;1695.32415779;1726.04866675;1711.60392615;1738.39696272;1734.65731486;1699.82528514;1729.26920981;1739.87815665;1655.88103437;1756.06321071;1694.87639667;1692.18379616;1642.78422198;1734.47456021;1668.70308923;1659.92529952;1672.64760186;1721.2042296;1672.21469913;1659.26550015;1697.81860044;1677.20481755;1687.04534616;1653.39710899;1725.25708229;1702.26848646;1664.12078889;1724.63561369;1765.63699553;1705.15043325;1708.15573061;1701.78435767;1684.39009733;1718.72336343;1694.13753869;1666.85512268;1680.72603359;1733.2010847;1681.57247837;1728.37727363;1701.5692757;1703.31500316;1677.97497002;1703.92077281;1787.51839151;1650.83675753;1761.34039867;1718.95549681;1689.04055606;1654.58635314;1668.49812706;1672.82515524;1700.46052586;1719.21900874;1656.92003428;1665.78630082;1713.31608292;1680.01011902;1689.04055606;1661.76833524;1679.31176379;1662.98165955;1689.4768421;1718.95549681;1689.04055606;1654.58635314;1668.49812706;1672.82515524;1700.46052586;1654.58635314;1719.21900874;1656.92003428;1665.78630082;1713.31608292;1680.01011902;1661.76833524;1679.31176379;1662.98165955;1626.84971648;1662.53661614;1668.49812706;1661.2013725;1690.73238568;1652.8054937;1689.22881813;1659.92590196;1679.86785195;15141.2815838;1718.95549681;1689.04055606;1654.58635314;1672.82515524;1668.49812706;1700.46052586;1719.21900874;5120.07324166;1718.95549681
DES_doc_10.txt;0;1;872.459741192;866.548325254;845.490390247;891.595199628;746.999330656;788.16241981;836.934883966;828.749660633;1010.35241376;843.525933211;922.944201997;856.448480646;888.646161304;887.493098565;798.949310032;841.861033663;754.359330823;839.219875837;784.177275876;982.457123746;894.59040907;745.07180862;891.370854359;933.635903337;833.947240537;945.626776271;965.045076667;795.673299791;865.22135896;800.838310772;774.739956372;965.011917025;925.817476612;765.626540815;791.560484107;959.903120112;824.765421196;808.791691352;862.153118651;765.323461028;897.020624066;879.094989179;794.620664217;756.579143249;957.862203033;852.750842861;770.575109902;876.42683665;1425.34908005;1443.94321218;1443.75759738;1445.85545612;1446.19639054;1437.60634389;1463.03110015;1453.99381017;1457.21926971;1441.02185965;1453.67878157;1400.679121;1467.2722992;1427.11176857;1444.46529899;1358.20985124;1471.80841144;1425.26348441;1422.83168365;1409.63328565;1445.29858507;1416.75756571;1393.23005997;1444.99619377;1398.25534149;1420.78499429;1420.42810448;1462.20928735;1434.43577758;1393.37575693;1451.03342484;1482.30698575;1422.71430723;1422.36633818;1436.98364639;1423.33270882;1468.9159268;1445.54280462;1422.6833801;1447.18692642;1449.3191505;1381.49194714;1447.04733855;1467.84331589;1458.07201468;1415.40736186;1466.5708302;1487.00773367;1377.94049218;1495.04514982;1444.21674274;1437.46999969;1410.25104148;1408.8122657;1397.35965306;1416.83591146;1422.73961075;1357.41298064;1398.14376943;1424.90561091;1434.14922515;1437.46999969;1358.94591504;1442.89777878;1374.22414474;1399.03466719;1444.21674274;1437.46999969;1410.25104148;1408.8122657;1397.35965306;1416.83591146;1410.25104148;1422.73961075;1357.41298064;1398.14376943;1424.90561091;1434.14922515;1358.94591504;1442.89777878;1374.22414474;1322.05673101;1419.41396358;1408.8122657;1407.692438;1401.20305452;1400.37994844;1423.14651389;1373.10451168;1407.7087767;15112.6492052;1444.21674274;1437.46999969;1410.25104148;1397.35965306;1408.8122657;1416.83591146;1422.73961075;5032.58422682;1444.21674274
DES_doc_11.txt;0;0;1;718.420489686;720.98266276;875.290808817;769.772693722;860.022092739;858.009323959;1005.51976609;931.383916546;1065.56557752;933.487011158;935.369445727;871.780935786;868.315610824;829.739718225;792.824066234;859.573149883;1054.56531329;847.015938457;872.923822564;874.229946868;969.25022569;861.047037043;915.220192085;890.262882524;903.597255419;923.867955933;871.243938286;814.882813661;840.829352485;829.264734569;899.180738228;836.688711529;852.702761811;943.917369265;905.786950668;848.628304972;894.777067207;851.650162919;903.664760849;843.293543198;915.816575522;884.281629347;1001.62268345;815.497394233;857.99067594;844.169414277;894.131981309;1746.07559974;1780.66672907;1771.05335888;1749.6633962;1798.44877603;1776.56241095;1799.88221837;1791.15995936;1769.19586253;1758.02901;1788.03020109;1730.69523603;1782.62334777;1773.67189751;1748.95282955;1672.43176243;1785.81466004;1729.54155775;1726.66209781;1715.76455261;1772.30866386;1740.02413776;1739.23373932;1758.43453105;1727.19367762;1735.99020735;1716.92515853;1790.17317598;1748.54968474;1714.75654249;1777.94038145;1839.62550537;1747.23495844;1774.59065702;1769.77399687;1721.80893249;1778.72763514;1760.26020804;1732.4785713;1753.87513809;1779.53533261;1726.17843805;1771.1312769;1791.90178302;1796.20266117;1729.11769409;1786.07334676;1843.56882161;1684.27313699;1842.00271444;1767.73753708;1760.19828429;1703.72356913;1745.49935549;1733.84543717;1730.76110425;1746.61615703;1719.73311883;1730.4340496;1745.23809264;1753.7668032;1760.19828429;1712.98161111;1732.15588213;1705.17330498;1740.70100821;1767.73753708;1760.19828429;1703.72356913;1745.49935549;1733.84543717;1730.76110425;1703.72356913;1746.61615703;1719.73311883;1730.4340496;1745.23809264;1753.7668032;1712.98161111;1732.15588213;1705.17330498;1680.17796676;1723.72735663;1745.49935549;1697.67488054;1722.49760522;1717.22159316;1743.55900388;1713.97724606;1727.89872388;15146.4610388;1767.73753708;1760.19828429;1703.72356913;1733.84543717;1745.49935549;1730.76110425;1746.61615703;5141.50464358;1767.73753708
DES_doc_12.txt;0;0;0;1;672.33771276;807.695487173;768.351482071;823.497419547;857.534838942;1005.02238781;899.424260291;1014.70685422;828.793098427;915.684443463;891.437042084;859.018044048;819.299700964;838.907623043;820.749657326;1028.73125742;807.728914921;867.971197679;888.670917719;937.733437604;824.532594868;836.994623639;858.844572667;846.056735686;848.120274489;827.423712496;823.356544882;740.233746866;838.756222034;882.639224145;796.900244698;792.252485007;847.467993496;811.650170948;840.191644805;882.358203906;829.363611452;851.589102795;863.337709127;801.911466435;892.075108945;939.233730229;848.307727184;861.586907979;839.921424896;859.97209257;1652.83756008;1690.97959775;1698.24379875;1666.34930312;1681.43034349;1690.57919069;1715.02769657;1706.20045716;1681.83827998;1684.33428986;1707.01025187;1642.26550838;1707.15728625;1677.32167458;1667.1802542;1607.95646707;1689.62244303;1627.37334377;1635.13669153;1645.76122205;1675.99224342;1649.98969694;1645.1498412;1655.07703748;1629.58460965;1667.27622187;1630.31039989;1696.34135716;1634.06181034;1614.50178074;1668.46576231;1716.29018525;1662.4818796;1678.31522665;1669.6041447;1651.98910408;1687.65932581;1665.18587551;1646.77685191;1674.2670038;1702.07755405;1638.86057979;1680.46005606;1682.78756829;1708.44315094;1631.49379404;1699.11506379;1752.50049929;1621.4949892;1743.45977872;1668.96554788;1650.63745262;1608.97607192;1641.02650801;1620.6634444;1652.39038971;1664.36594534;1634.03916722;1626.53804136;1663.07245783;1670.97815665;1650.63745262;1621.39076104;1660.43307604;1612.82795115;1631.00521152;1668.96554788;1650.63745262;1608.97607192;1641.02650801;1620.6634444;1652.39038971;1608.97607192;1664.36594534;1634.03916722;1626.53804136;1663.07245783;1670.97815665;1621.39076104;1660.43307604;1612.82795115;1568.20661904;1649.72603786;1641.02650801;1606.87896246;1657.56990803;1629.23294835;1666.99370125;1614.58229892;1608.06902837;15136.3352896;1668.96554788;1650.63745262;1608.97607192;1620.6634444;1641.02650801;1652.39038971;1664.36594534;5112.28168238;1668.96554788
DES_doc_13.txt;0;0;0;0;1;764.694710326;701.374365086;817.96087926;889.670725606;964.683367743;865.663907068;998.092180112;786.915497369;908.123339641;827.841772321;864.965895281;828.853424919;819.869501811;787.639511452;1004.52177677;770.497242046;825.620978416;859.214757788;903.635988659;837.105728089;832.975389793;828.213740528;841.984560429;825.989104044;865.825617547;813.134675192;773.325287314;850.992361893;884.682994072;839.707091789;789.613829666;909.032452666;791.703227226;841.188444999;845.80730666;814.957667612;872.42306251;852.1255776;824.200218394;854.29268989;983.496822567;791.378544061;823.380835337;829.217703622;811.524491312;1669.80118577;1698.96027028;1687.80804596;1662.51977432;1683.75057535;1682.99792038;1716.26454837;1702.25086283;1677.11478438;1691.15404384;1697.52349026;1637.00091631;1688.04146868;1676.11753764;1657.17832474;1584.15718917;1711.31119321;1635.31648313;1628.52264338;1644.05413536;1671.86064013;1652.71473643;1645.30301161;1665.03633594;1624.75475072;1657.45346843;1626.31423778;1689.02338646;1668.61859033;1626.3892523;1695.99292451;1720.82596447;1656.31337615;1664.22955147;1675.21341924;1651.97033872;1686.83016335;1671.27197069;1656.13465636;1667.7811607;1688.73917465;1617.61120174;1679.68925698;1672.76537506;1673.85244272;1633.18829288;1693.88724536;1736.88284003;1615.76607218;1742.09873429;1664.07992597;1660.72213209;1618.66611752;1647.17880025;1630.92550412;1651.97699742;1649.37503316;1612.70456067;1624.10898649;1665.16966103;1662.22922607;1660.72213209;1618.1730439;1663.09711081;1601.47744286;1634.2441678;1664.07992597;1660.72213209;1618.66611752;1647.17880025;1630.92550412;1651.97699742;1618.66611752;1649.37503316;1612.70456067;1624.10898649;1665.16966103;1662.22922607;1618.1730439;1663.09711081;1601.47744286;1571.31791818;1653.65413554;1647.17880025;1624.82306729;1642.19913531;1635.33115912;1649.71815775;1636.51825532;1611.31809398;15136.3964007;1664.07992597;1660.72213209;1618.66611752;1630.92550412;1647.17880025;1651.97699742;1649.37503316;5108.26957002;1664.07992597
DES_doc_14.txt;0;0;0;0;0;1;763.873026098;837.758915202;839.65469093;1005.16864257;902.297068598;1031.03443201;892.652227914;893.041992294;862.093962396;862.980880437;906.598036618;864.923117971;828.726734213;1034.84201693;812.873913962;920.245619386;890.591937983;959.270556204;858.032633412;966.616780322;922.151831316;936.8681871;912.43410721;880.909757013;844.789914713;797.988721725;857.671265696;910.45812644;808.715030156;863.465112208;937.156337011;911.483406322;916.832591044;829.051265001;871.874991039;865.810602846;867.7315253;830.131314913;877.701543806;1018.81990558;870.630805795;885.867935981;857.701579805;921.777630451;1723.50630982;1730.66230097;1727.65679462;1701.95593362;1746.41804846;1731.5085908;1775.31405672;1748.80645013;1722.0383271;1736.25170986;1776.65021881;1713.21102028;1783.38161928;1724.91217168;1737.61963617;1648.68311085;1743.75973116;1707.11159565;1700.76218208;1707.32187944;1746.24110592;1710.99503214;1716.24415512;1728.47505044;1704.49405983;1727.36330863;1703.36901463;1769.40950602;1709.15417678;1674.06332019;1742.53895222;1781.05025196;1720.1558069;1739.66261097;1741.00717977;1717.53427913;1771.90236751;1755.45777505;1714.81719142;1716.61760448;1752.12841995;1689.25131345;1740.57749037;1744.82950456;1751.2835293;1713.96207659;1739.82930197;1786.87324676;1691.5850555;1790.8958652;1713.70767636;1718.01105934;1675.17103604;1705.97303613;1691.42306949;1704.24822136;1708.20607656;1671.98086113;1675.5017159;1728.51901928;1711.38832531;1718.01105934;1679.201596;1722.01509866;1669.06141289;1675.04447702;1713.70767636;1718.01105934;1675.17103604;1705.97303613;1691.42306949;1704.24822136;1675.17103604;1708.20607656;1671.98086113;1675.5017159;1728.51901928;1711.38832531;1679.201596;1722.01509866;1669.06141289;1614.06009801;1705.90327979;1705.97303613;1683.22725738;1708.0919179;1698.44163868;1706.72903532;1684.09975952;1672.44192724;15142.5431814;1713.70767636;1718.01105934;1675.17103604;1691.42306949;1705.97303613;1704.24822136;1708.20607656;5123.41351054;1713.70767636
DES_doc_15.txt;0;0;0;0;0;0;1;701.937319139;767.682225924;818.128351788;872.711865394;849.787032144;789.958226744;809.027811636;785.48456382;787.596343313;747.240255875;781.452493758;749.421109924;915.436507902;721.479036424;866.702947959;831.21357063;792.90730858;754.522365474;836.160271718;815.456927127;866.187046775;895.535593932;787.980964237;802.994395995;753.032535818;764.111248445;866.353276672;821.862518917;714.975524057;768.881005098;847.544689087;749.671928246;803.585714159;809.55296306;761.461752158;793.886641782;793.598135078;806.343599218;807.982673082;784.177275876;777.549998392;852.058683425;878.834455401;1555.08584972;1552.42713195;1552.96555017;1543.97797912;1563.07645366;1572.11004704;1589.79432632;1578.2712061;1561.52745733;1564.48010534;1573.82654699;1510.03509893;1566.90076265;1569.45213371;1549.99806451;1463.75817675;1575.12983592;1512.02380934;1517.53023034;1520.59659345;1578.7260687;1536.6749819;1516.65948716;1567.10625039;1515.89643446;1531.03102516;1517.71011725;1574.79649479;1517.53484309;1495.49991642;1578.02471464;1607.62993254;1544.22083913;1540.35125864;1555.26717962;1536.91509199;1580.59292672;1570.03948995;1522.97472074;1549.9238691;1552.91983051;1512.37230866;1555.89909699;1567.70214008;1574.04447205;1513.07898009;1562.94273727;1604.19886548;1508.9393626;1644.11009364;1542.04993434;1558.43062085;1495.18560721;1516.03759848;1522.82960307;1514.01651246;1518.18048993;1501.43531329;1492.30090799;1542.90375591;1542.25289755;1558.43062085;1500.94436939;1542.4538891;1491.64070741;1513.43120095;1542.04993434;1558.43062085;1495.18560721;1516.03759848;1522.82960307;1514.01651246;1495.18560721;1518.18048993;1501.43531329;1492.30090799;1542.90375591;1542.25289755;1500.94436939;1542.4538891;1491.64070741;1442.9975745;1525.28095773;1516.03759848;1497.17066495;1526.80581607;1503.78455904;1529.93202463;1475.11558869;1520.53872032;15123.2622803;1542.04993434;1558.43062085;1495.18560721;1522.82960307;1516.03759848;1514.01651246;1518.18048993;5071.69478577;1542.04993434
DES_doc_16.txt;0;0;0;0;0;0;0;1;702.625077833;900.674191925;848.689578114;963.628559145;861.819006521;897.458634144;878.722936994;909.899994505;796.212283251;846.998229042;790.679454646;951.871840113;768.996749018;903.652588111;896.018973013;919.447660283;818.119795629;908.7254811;856.016354984;867.025951169;943.929022755;812.617991433;809.718469593;765.537719515;805.71831306;946.554805598;835.307129145;799.579889692;863.362032985;910.707417341;829.810821814;797.136123883;836.481918513;794.491032045;869.716045615;828.321193741;849.332679225;881.415906369;857.775028781;811.900240177;835.169443885;911.126774933;1586.41482595;1606.15067786;1598.47302136;1605.23020156;1599.08849036;1598.14955495;1631.34177903;1614.7897696;1581.72627215;1606.26710108;1613.24765613;1568.75364541;1627.33708862;1600.76544191;1595.13698471;1515.76383385;1615.51787362;1565.2820832;1572.59530713;1573.26602963;1593.78229379;1573.31814964;1574.17661017;1588.64344647;1559.96666631;1580.5138405;1573.84942101;1620.1956672;1580.51953484;1548.12660981;1614.96006143;1653.58338163;1588.55657753;1588.55531852;1598.99468417;1578.83121327;1617.69651047;1619.07442695;1550.14063878;1575.60528052;1623.54858258;1575.09174336;1594.60277185;1594.49051424;1605.0246104;1566.10408339;1614.25462676;1639.52798085;1522.17738782;1653.89298324;1613.24145744;1582.93777515;1551.41999471;1560.41084334;1563.5920184;1563.02207278;1572.74282704;1555.35012136;1543.83677894;1594.17564904;1587.00031506;1582.93777515;1539.25176628;1599.49554548;1525.39109739;1561.91421019;1613.24145744;1582.93777515;1551.41999471;1560.41084334;1563.5920184;1563.02207278;1551.41999471;1572.74282704;1555.35012136;1543.83677894;1594.17564904;1587.00031506;1539.25176628;1599.49554548;1525.39109739;1493.55682851;1569.86814733;1560.41084334;1569.33234211;1569.18450158;1541.99156937;1579.1858662;1552.39492398;1569.84139326;15128.5460637;1613.24145744;1582.93777515;1551.41999471;1563.5920184;1560.41084334;1563.02207278;1572.74282704;5085.09783583;1613.24145744
DES_doc_17.txt;0;0;0;0;0;0;0;0;1;957.030825;903.59614873;1014.05522532;922.419644197;928.740006676;889.008436405;874.475843005;845.091710999;844.953253145;821.110224026;1002.14869156;807.602625058;946.172288751;876.783895838;981.859460412;859.676683411;979.579501623;888.690047204;883.267796311;929.067274206;849.550469366;895.530010664;821.512020606;869.008630567;907.476721465;856.14367953;820.738691667;911.455978092;973.217344687;860.769423249;820.063412182;889.218758237;793.081332525;916.197576945;853.074439894;867.315398226;903.77541458;882.71739532;869.970114429;830.205998533;923.919909949;1609.36633493;1636.84330343;1600.99031852;1619.28132207;1632.39149716;1634.06548216;1637.88400078;1650.47508312;1613.21666245;1631.39388254;1650.41267567;1588.59560619;1681.36075843;1642.38363363;1621.07803637;1552.09857934;1622.94670276;1582.10808733;1586.92217831;1601.65414494;1620.19443278;1578.20530984;1606.16624295;1602.86243951;1591.65134373;1598.51305906;1578.48028179;1666.88391917;1590.72750652;1568.24169056;1637.16401133;1678.28066783;1605.91842881;1609.31973206;1616.53518366;1602.4631041;1648.31004365;1616.15593307;1593.47858473;1612.37092507;1641.40793223;1589.67858387;1619.14051274;1632.50604899;1634.9391426;1599.88812109;1624.93876808;1660.41380385;1566.1704888;1695.90329913;1619.95987605;1594.85234426;1570.79024698;1568.84416052;1585.61344596;1583.52328685;1597.82915232;1562.42439817;1569.09719266;1633.99694002;1597.26578878;1594.85234426;1573.49737845;1631.36568555;1543.95401486;1584.91387779;1619.95987605;1594.85234426;1570.79024698;1568.84416052;1585.61344596;1583.52328685;1570.79024698;1597.82915232;1562.42439817;1569.09719266;1633.99694002;1597.26578878;1573.49737845;1631.36568555;1543.95401486;1520.22300996;1580.41007337;1568.84416052;1567.2268502;1579.35619795;1549.6593174;1591.12287395;1574.11498945;1583.55928212;15130.5301956;1619.95987605;1594.85234426;1570.79024698;1585.61344596;1568.84416052;1583.52328685;1597.82915232;5093.41182313;1619.95987605
DES_doc_18.txt;0;0;0;0;0;0;0;0;0;1;975.247660853;818.920020515;892.249964976;800.391154374;961.562270474;961.110815671;832.334067547;951.793044732;820.218263635;832.442190185;860.805436786;1069.82895829;1012.43666469;819.573059587;932.024677785;982.635232424;900.502082174;1049.04051399;1116.87779099;892.683594562;967.85019502;932.915859014;875.630058872;1091.27998241;1010.41080754;795.533783066;838.029832405;1054.05502703;907.561568159;925.349663641;989.293687436;878.284691885;1036.58574175;955.833667538;882.342337191;862.647088907;1020.54593233;939.190076609;965.806398819;1077.29290353;1380.59479935;1386.19479151;1393.64916676;1373.46277707;1414.7968052;1413.99292785;1432.11312402;1461.103008;1418.18405011;1427.96778675;1429.49501573;1393.82854039;1430.63342614;1394.30412751;1394.41098676;1341.2814768;1401.6811335;1350.60653042;1352.96489238;1378.43244303;1390.95291078;1390.7393717;1348.15503559;1419.76054319;1385.21261906;1387.83068132;1374.31146397;1452.30437581;1372.17855981;1359.66981286;1406.29157716;1431.17574043;1387.70530013;1402.19756097;1408.55883796;1367.45895734;1415.12190288;1420.88282416;1392.54658809;1420.90534519;1444.47014507;1354.23926985;1415.36920978;1421.88044504;1454.37202943;1368.08113794;1429.79718842;1446.95127769;1362.41917191;1458.4073505;1385.76260593;1405.66781282;1334.98913853;1367.67320658;1380.1934647;1384.41251078;1377.46506308;1353.32331688;1348.09717751;1383.77816141;1368.64312368;1405.66781282;1351.37929539;1390.31147589;1368.09210216;1378.22712207;1385.76260593;1405.66781282;1334.98913853;1367.67320658;1380.1934647;1384.41251078;1334.98913853;1377.46506308;1353.32331688;1348.09717751;1383.77816141;1368.64312368;1351.37929539;1390.31147589;1368.09210216;1304.44240961;1359.25200018;1367.67320658;1367.22200099;1360.09043817;1342.30771435;1371.41751484;1311.40916575;1396.81065288;15108.3810516;1385.76260593;1405.66781282;1334.98913853;1380.1934647;1367.67320658;1384.41251078;1377.46506308;5027.00328227;1385.76260593
