accuracy_comitee;accuracy_des;accuracy_elgamal;accuracy_rsa;cm_comitee;cm_des;cm_elgamal;cm_rsa;selected_metrics;time;train_size
1.0;1.0;1.0;0.8833333333333333;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[35  5]
 [ 2 18]]";{'Euclidian': 16, 'Manhattan': 16, 'Cosseno': 16, 'Simple-Matching': 16, 'Dice': 16, 'Jaccard': 16};20/10/2020 12:12:40;
1.0;1.0;1.0;0.8833333333333333;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[35  5]
 [ 2 18]]";{'Euclidian': 16, 'Manhattan': 16, 'Cosseno': 16, 'Simple-Matching': 16, 'Dice': 16, 'Jaccard': 16};20/10/2020 12:12:48;
1.0;1.0;1.0;0.8833333333333333;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[35  5]
 [ 2 18]]";{'Euclidian': 16, 'Manhattan': 16, 'Cosseno': 16, 'Simple-Matching': 16, 'Dice': 16, 'Jaccard': 16};20/10/2020 12:18:38;
1.0;1.0;1.0;0.7;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[28 12]
 [ 6 14]]";{'Cosseno': '16', 'Simple-Matching': '16'};20/10/2020 12:50:08;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Cosseno': '16', 'Dice': '16'};20/10/2020 12:50:33;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Cosseno': '16', 'Jaccard': '16'};20/10/2020 12:50:58;
1.0;1.0;1.0;0.7;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[28 12]
 [ 6 14]]";{'Cosseno': '16', 'Simple-Matching': '16'};20/10/2020 12:52:52;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Cosseno': '16', 'Dice': '16'};20/10/2020 12:53:16;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Cosseno': '16', 'Jaccard': '16'};20/10/2020 12:53:39;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Cosseno': '16', 'Euclidian': '16'};20/10/2020 12:54:04;
1.0;1.0;1.0;0.9333333333333332;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[36  4]
 [ 0 20]]";{'Cosseno': '16', 'Manhattan': '16'};20/10/2020 12:54:29;
1.0;1.0;1.0;0.7;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[28 12]
 [ 6 14]]";{'Simple-Matching': '16', 'Dice': '16'};20/10/2020 12:54:54;
1.0;1.0;1.0;0.7;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[28 12]
 [ 6 14]]";{'Simple-Matching': '16', 'Jaccard': '16'};20/10/2020 12:55:20;
1.0;1.0;1.0;0.7;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[28 12]
 [ 6 14]]";{'Simple-Matching': '16', 'Euclidian': '16'};20/10/2020 12:55:44;
1.0;1.0;1.0;0.8;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[31  9]
 [ 3 17]]";{'Simple-Matching': '16', 'Manhattan': '16'};20/10/2020 12:56:09;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Dice': '16', 'Jaccard': '16'};20/10/2020 12:56:34;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Dice': '16', 'Euclidian': '16'};20/10/2020 12:56:58;
1.0;1.0;1.0;0.9333333333333332;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[36  4]
 [ 0 20]]";{'Dice': '16', 'Manhattan': '16'};20/10/2020 12:57:22;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Jaccard': '16', 'Euclidian': '16'};20/10/2020 12:57:47;
1.0;1.0;1.0;0.95;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 0 20]]";{'Jaccard': '16', 'Manhattan': '16'};20/10/2020 12:58:11;
1.0;1.0;1.0;0.9333333333333332;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[36  4]
 [ 0 20]]";{'Euclidian': '16', 'Manhattan': '16'};20/10/2020 12:58:35;
1.0;1.0;1.0;0.9;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 3 17]]";{'Cosseno': 8, 'Simple-Matching': 8};20/10/2020 13:08:36;
1.0;1.0;0.9666666666666668;0.9833333333333332;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[39  1]
 [ 1 19]]";"[[39  1]
 [ 0 20]]";{'Cosseno': 8, 'Dice': 8};20/10/2020 13:08:59;
1.0;1.0;0.9666666666666668;0.9833333333333332;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[39  1]
 [ 1 19]]";"[[39  1]
 [ 0 20]]";{'Cosseno': 8, 'Jaccard': 8};20/10/2020 13:09:21;
1.0;1.0;0.9666666666666668;1.0;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 2 18]]";"[[40  0]
 [ 0 20]]";{'Cosseno': 8, 'Euclidian': 8};20/10/2020 13:09:42;
1.0;1.0;0.95;1.0;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 3 17]]";"[[40  0]
 [ 0 20]]";{'Cosseno': 8, 'Manhattan': 8};20/10/2020 13:10:03;
1.0;1.0;1.0;0.9;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 3 17]]";{'Simple-Matching': 8, 'Dice': 8};20/10/2020 13:10:24;
1.0;1.0;1.0;0.9;"[[120   0]
 [  0  60]]";"[[40  0]
 [ 0 20]]";"[[40  0]
 [ 0 20]]";"[[37  3]
 [ 3 17]]";{'Simple-Matching': 8, 'Jaccard': 8};20/10/2020 13:10:47;
